0 46 606173
1 59 628321
2 58 640614
3 30 650931
4 54 618760
5 54 619617
6 53 618765
7 38 618748
8 50 639378
9 47 630101
10 50 634183
11 45 643198
12 55 613631
13 53 648229
14 51 611884
15 57 617718
16 65 634921
17 64 617878
18 44 623681
19 46 620225
20 48 607288
21 55 624364
22 46 622835
23 50 614868
24 56 612210
25 29 610028
26 60 639597
27 61 646459
28 50 623079
29 48 604449
30 70 600413
31 70 623329
32 55 601280
33 53 623780
34 66 623595
35 74 642171
36 72 652300
37 67 607773
38 46 612407
39 5 487835
40 12 478444
41 5 484797
42 7 515695
43 8 447599
44 9 501809
45 8 494778
46 6 438219
47 7 487063
48 8 487603
49 5 452146
50 37 617630
51 66 614717
52 62 622784
53 54 608654
54 8 427900
55 6 445303
56 29 599911
57 48 605562
58 8 518575
59 16 537638
60 16 564495
61 29 615961
62 63 627962
63 15 617849
64 9 493545
65 8 455625
66 23 597913
67 5 503756
68 10 523483
69 6 487964
70 15 573198
71 15 661379
72 22 573760
73 3 515527
74 28 587316
75 27 624636
76 53 616336
77 51 590474
78 52 608503
79 60 647177
80 49 637949
81 47 641671
82 55 615968
83 54 612668
84 59 621322
85 65 636763
86 44 614822
87 54 611197
88 42 617349
89 52 635908
90 54 597310
91 49 634366
92 46 613489
93 56 628705
94 35 583461
95 58 645536
96 33 623312
97 16 559866
98 54 604509
99 40 613067
100 51 590750
101 53 616147
102 44 630942
103 60 629965
104 54 606658
105 51 602606
106 40 618234
107 51 612959
108 35 622243
109 53 606872
110 49 628768
111 50 599769
112 55 612270
113 43 649870
114 51 651059
115 37 626587
116 56 619764
117 45 606852
118 49 628203
119 48 623565
120 58 627326
121 46 618914
122 44 592427
123 53 615558
124 48 620957
125 48 624698
126 46 617179
127 50 608660
128 47 621554
129 56 607640
130 38 614115
131 41 614509
132 43 605539
133 51 616119
134 45 618435
135 56 627753
136 45 623461
137 44 624002
138 33 593762
139 38 622293
140 56 620421
141 43 608680
142 48 628807
143 54 611795
144 43 636461
145 40 596492
146 48 632709
147 60 627799
148 67 604420
149 38 600172
150 46 604356
151 44 658480
152 62 633367
153 44 627428
154 48 607153
155 53 610000
156 54 609316
157 57 608585
158 55 630116
159 50 601450
160 44 618828
161 50 602790
162 49 625147
163 43 632689
164 53 607683
165 48 597272
166 52 612033
167 56 618168
168 41 612271
169 53 625942
170 39 627760
171 43 634143
172 48 613510
173 46 602362
174 58 618711
175 49 609396
176 41 621009
177 40 629273
178 61 634801
179 45 616403
180 25 615377
181 44 617752
182 40 606574
183 42 626253
184 46 629023
185 49 612951
186 47 629145
187 48 629978
188 52 615516
189 51 635310
190 46 612044
191 36 614319
192 36 610113
193 56 619021
194 48 623966
195 37 631861
196 45 609746
197 38 619755
198 48 623295
199 49 622668
200 41 636037
201 51 620686
202 59 619595
203 41 612271
204 55 603167
205 36 592367
206 49 623091
207 40 605206
208 52 645056
209 42 610455
210 54 609365
211 39 616640
212 49 625956
213 46 632333
214 62 648788
215 58 599237
216 43 633457
217 34 642360
218 48 630833
219 51 634710
220 50 601504
221 43 628247
222 51 609137
223 58 607115
224 40 638242
225 34 616808
226 56 599859
227 45 590115
228 50 620024
229 61 626669
230 43 595255
231 51 599326
232 35 617654
233 62 630724
234 43 615875
235 47 605763
236 51 625947
237 50 632915
238 55 595994
239 52 650043
240 39 623435
241 56 639665
242 47 615671
243 55 604880
244 59 622283
245 36 621779
246 44 624559
247 42 621709
248 48 608315
249 37 625549
250 48 599098
251 19 649267
