647516640 694565 0 0 0 0 0 0 1 1
2564717520 598231 1 1 0 0 0 0 0 0
2608776080 619970 0 1 1 1 1 0 0 0
3801748560 586147 0 0 1 1 0 0 0 0
7367982240 715523 1 1 1 0 0 0 0 0
7464514240 805670 0 1 1 0 0 0 1 1
8290862640 554337 0 0 0 1 0 0 1 0
9836906480 585504 1 1 0 0 0 0 0 0
11967844400 534582 0 1 1 0 0 0 0 0
12586661520 638149 0 0 1 1 0 0 0 0
14054489200 555871 1 1 0 0 0 0 1 0
14175347600 575133 0 0 0 0 1 1 0 0
15272253280 664610 0 1 1 1 0 0 0 0
16208103680 695960 0 0 0 1 0 0 1 1
16339296480 562066 1 1 1 1 0 0 0 0
19036767280 874364 1 1 1 0 0 0 0 0
20412001600 469583 0 0 0 0 0 0 1 1
24225608960 663739 0 0 0 0 0 0 1 1
25714631760 627059 1 1 0 0 0 0 0 0
28029068720 613656 0 0 1 1 0 0 0 0
28768620080 655887 1 1 1 0 0 0 0 0
30381151600 589935 1 1 1 1 0 0 0 0
31249605680 505209 1 1 0 0 0 0 0 0
31465722240 623730 0 1 1 1 0 0 0 0
31640524320 613080 0 0 0 1 1 0 0 0
36106648080 977342 1 1 0 0 0 0 0 0
36596241040 733946 0 1 0 0 0 0 1 1
37621104480 558944 1 1 1 0 0 0 0 0
37824907120 529599 0 0 0 0 0 0 1 1
38128189360 650803 1 1 0 0 0 0 0 0
42223187520 514056 0 0 0 0 1 1 0 0
48291743200 487775 1 1 0 0 0 0 0 0
48533564720 525812 1 1 0 0 0 0 0 0
49010118640 547025 1 1 1 1 0 0 0 0
50920387920 701751 1 1 0 0 0 0 1 1
52739484880 530462 1 1 0 0 1 0 0 0
54195546400 521971 1 1 1 1 0 0 0 0
54285141440 577454 1 1 1 0 0 0 0 0
56267454240 380863 0 0 1 1 0 0 0 0
56754548800 556586 1 1 1 1 0 0 0 0
58557220400 535410 1 1 0 0 0 0 0 0
58557220320 574518 0 0 1 1 0 0 0 0
59354853760 675496 0 1 1 1 0 0 0 0
59660306080 543510 0 0 1 1 0 0 0 0
59883611840 573581 1 0 0 0 1 0 0 0
60193102960 564516 0 1 1 0 0 0 0 0
61725433920 577573 1 1 1 1 0 0 0 0
61995592320 682345 0 1 1 1 0 0 0 0
62487599360 714302 0 0 1 1 0 0 0 0
62861720640 559435 1 1 1 0 0 0 0 0
66342635360 544879 0 1 1 0 0 0 0 0
66656295600 573080 0 1 1 1 0 0 0 0
68086120880 670004 1 1 1 1 0 0 0 0
68461130480 543986 0 0 0 0 0 0 1 1
69404823840 645869 1 0 0 0 0 0 1 1
69902928800 778617 1 0 0 0 0 0 0 1
70570338800 575322 0 0 0 0 1 1 0 0
71012157280 563892 1 1 1 1 0 0 0 0
71337198800 592421 0 0 0 0 1 1 0 0
72344746480 553688 1 1 0 1 0 0 0 0
73320880000 647283 0 0 0 0 0 0 1 1
73694606320 652104 0 1 1 1 0 0 0 0
74194861440 792326 0 1 1 0 0 0 0 0
74241098720 643930 0 0 1 0 1 1 0 0
74647010080 569701 1 1 1 1 1 0 0 0
77498488080 641608 0 0 1 1 0 0 0 0
77821584320 632573 0 0 0 1 1 0 1 1
80031536000 548800 1 1 0 0 0 0 0 0
80284515360 629311 1 1 0 0 0 0 1 1
81060247920 577735 1 1 0 0 0 0 1 1
85166863920 564086 1 1 1 1 0 0 0 0
85291723360 682018 1 1 1 1 0 0 0 0
86824713200 626933 1 1 1 1 0 0 0 0
87040841360 600904 0 0 1 1 0 0 0 0
87572195120 551252 0 0 0 1 1 1 0 0
88788998080 721201 0 1 1 1 0 0 0 0
